City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
322,Mogadishu,SO,2.0371,45.3438,76.32,81,92,17.92,overcast clouds
323,Lata,PT,40.1629,-8.3327,63.91,80,9,8.55,clear sky
324,Odweyne,SO,9.4092,45.064,70.63,45,53,16.82,broken clouds
325,Uray,RU,60.1247,64.7758,56.41,89,3,6.51,clear sky
326,Serta,PT,39.8085,-8.0988,63.95,67,11,11.52,few clouds
327,Verkhnyaya Toyma,RU,62.2349,44.9985,52.83,99,93,3.94,overcast clouds
328,North Bend,US,43.4065,-124.2243,70.92,94,90,10.36,overcast clouds
329,Ahipara,NZ,-35.1667,173.1667,52.09,86,19,5.01,few clouds
330,Oytal,KZ,42.9057,73.2697,69.76,31,76,1.41,broken clouds
331,Qaqortoq,GL,60.7167,-46.0333,63.1,81,43,2.46,scattered clouds
332,Brae,GB,60.3964,-1.353,51.71,82,82,18.25,broken clouds
333,Murgab,TM,37.4966,61.9714,80.47,28,0,6.91,clear sky
334,Blagoyevo,RU,63.3667,47.9167,54.75,97,98,2.37,light rain
335,Oksfjord,NO,70.2396,22.3479,50.07,93,100,5.3,overcast clouds
336,Champerico,GT,14.3,-91.9167,93.74,72,14,6.06,few clouds
337,Axim,GH,4.8699,-2.2405,76.66,85,91,7.67,light rain
338,Larsnes,NO,62.2028,5.5773,56.86,89,100,19.48,light rain
339,Mackay,AU,-21.15,149.2,67.05,94,75,2.3,mist
340,Tuatapere,NZ,-46.1333,167.6833,47.82,96,100,3.91,overcast clouds
341,San Patricio,US,28.017,-97.5169,97.52,40,40,14.5,scattered clouds
342,Jalingo,NG,8.8833,11.3667,74.48,88,100,4.23,overcast clouds
343,Antalaha,MG,-14.9003,50.2788,68.07,81,2,8.95,clear sky
344,Kyra,RU,49.5776,111.9753,49.57,86,1,5.53,clear sky
345,Linhares,BR,-19.3911,-40.0722,67.8,67,35,10.71,scattered clouds
